JulianDate,Plot,drymass_g,FracSoilC,soilcmass_g,slope_ug_g_min
301,23,14.41036972,0.054538288,0.785916894,0.006094422
301,24,13.60903051,0.071805949,0.977209351,0.004575086
301,25,12.5210103,0.114828568,1.437769683,0.005249271
301,26,14.24468209,0.098411703,1.401843423,0.012422638
301,27,14.07065934,0.088183308,1.240797286,0.011304186
301,28,14.90100796,0.097220345,1.448681135,0.006861385
301,29,13.78688572,0.107228251,1.478343642,0.00834277
301,30,13.63126637,0.09716095,1.32442679,0.009087166
301,31,13.92702568,0.098145361,1.366872963,0.008494787
301,32,11.44096677,0.123407126,1.411896828,0.010425851
301,33,12.42194891,0.100565405,1.249218323,0.008412901
301,34,14.09218242,0.056400647,0.794808206,0.008464396
301,35,12.97694391,0.063473816,0.82369615,0.007597264
301,36,13.09339705,0.095515642,1.250624225,0.007458247
301,37,11.12200001,0.071612425,0.796473392,0.009987164
301,38,12.22979144,0.081808348,1.000499034,0.010694794
301,39,13.63622093,0.105532417,1.439063353,0.005398367
301,40,12.33761391,0.109769363,1.35429202,0.01134715
301,41,12.51536633,0.056978292,0.713104197,0.022634562
301,42,11.97650523,0.142337942,1.704711107,0.01564059
301,43,12.98173333,0.084535217,1.097413644,0.01177966
301,44,13.7966611,0.09904088,1.366433456,0.012100355
301,45,14.15930942,0.0863063,1.222037607,0.011125852
301,46,NA,NA,NA,NA
301,47,11.06521445,0.18553175,2.052948601,0.008756589
301,48,5.711801897,0.12223793,0.69819884,0.009090596
339,1,14.68288241,0.02856096,0.419357217,0.028995963
339,2,15.45218402,0.033043883,0.510600161,0.01818728
339,3,13.57254355,0.043177724,0.586031539,0.024878114
339,4,14.28953572,0.056258264,0.803904473,0.011007684
339,5,14.95704845,0.053439951,0.799303936,0.035194973
339,6,15.20264152,0.056362486,0.85685867,0.01296766
339,7,14.36511804,0.04723691,0.678563788,0.007153848
339,8,14.79696722,0.060656929,0.89753859,0.03628441
339,9,15.90561152,0.038174934,0.60719567,0.026184655
339,10,13.22536328,0.060441909,0.799366204,0.008335914
339,11,14.035,0.048759494,0.684339498,0.010473387
339,12,14.89688312,0.035717561,0.532080332,0.00589305
339,13,15.31785298,0.06730515,1.030970392,0.040384229
339,14,13.33760869,0.049134474,0.655336387,0.00633189
339,15,15.4247181,0.035988452,0.555111727,0.007344681
339,16,14.00419288,0.031166859,0.436466705,0.00787232
339,17,14.16134414,0.048480635,0.686550956,0.011244941
339,18,14.17566667,0.033968997,0.481533179,0.005184729
